variant,p,alpha,n_seeds,fa,fa_sd,aa,aa_sd,ffm,ffm_sd,old_mean,new_acc,first5_mean
only_A,0.90,0.70,3,81.20,0.12,86.71,0.37,10.50,0.51,80.31,89.16,75.56
only_A,0.90,0.90,3,79.46,0.51,86.00,0.45,12.80,0.54,78.31,89.81,72.62
only_A,0.90,1.00,3,78.88,0.60,85.73,0.40,13.54,0.65,77.63,90.14,71.77
only_A,1.00,0.10,3,83.11,0.25,86.40,0.60,4.97,0.39,82.89,85.08,81.54
only_A,1.00,0.30,3,83.53,0.17,87.25,0.52,6.76,0.55,83.04,87.89,79.87
only_A,1.00,0.50,3,82.44,0.32,87.09,0.43,8.66,0.36,81.78,88.35,77.66
only_A,1.00,0.70,3,80.90,0.32,86.58,0.37,10.84,0.53,80.01,88.92,75.01
only_A,1.00,0.90,3,79.75,0.51,86.01,0.37,12.37,0.83,78.66,89.57,73.05
only_A,1.00,1.00,3,78.83,0.47,85.71,0.46,13.60,0.32,77.53,90.51,71.61
only_B,0.10,0.10,3,80.68,0.59,85.16,0.73,6.27,0.32,80.45,82.69,79.83
only_B,0.10,0.30,3,82.46,0.41,86.17,0.67,5.81,0.37,82.12,85.48,80.61
only_B,0.10,0.50,3,82.83,0.22,86.47,0.62,6.23,0.54,82.40,86.66,80.14
only_B,0.10,0.70,3,82.54,0.33,86.53,0.58,6.98,0.31,82.03,87.08,79.14
only_B,0.10,0.90,3,81.88,0.40,86.40,0.62,8.21,0.28,81.24,87.66,77.97
only_B,0.10,1.00,3,81.75,0.38,86.34,0.57,8.69,0.28,81.06,87.98,77.44
only_B,0.30,0.10,3,81.92,0.38,85.70,0.69,5.44,0.34,81.70,83.92,80.82
only_B,0.30,0.30,3,83.27,0.07,86.78,0.55,5.93,0.45,82.88,86.75,80.60
only_B,0.30,0.50,3,82.61,0.17,86.89,0.44,7.59,0.41,82.04,87.82,78.77
only_B,0.30,0.70,3,82.02,0.48,86.80,0.50,8.70,0.45,81.36,87.90,77.46
only_B,0.30,0.90,3,81.08,0.38,86.46,0.48,10.03,0.29,80.23,88.75,75.89
only_B,0.30,1.00,3,80.59,0.48,86.32,0.54,10.86,0.23,79.68,88.76,75.12
only_B,0.50,0.10,3,82.42,0.35,86.00,0.63,5.13,0.39,82.18,84.58,81.20
only_B,0.50,0.30,3,83.43,0.13,87.02,0.50,6.30,0.37,82.98,87.49,80.35
only_B,0.50,0.50,3,82.64,0.25,87.02,0.52,7.98,0.51,82.03,88.10,78.34
only_B,0.50,0.70,3,81.58,0.31,86.73,0.51,9.67,0.20,80.79,88.71,76.38
only_B,0.50,0.90,3,80.73,0.27,86.36,0.41,10.86,0.19,79.80,89.12,75.07
only_B,0.50,1.00,3,79.86,0.34,86.07,0.44,12.10,0.57,78.75,89.86,73.65
only_B,0.70,0.10,3,82.83,0.36,86.22,0.62,5.02,0.49,82.61,84.86,81.46
only_B,0.70,0.30,3,83.43,0.09,87.16,0.48,6.61,0.33,82.97,87.57,79.91
